	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UBE2Z	26240.62993	0.314353686	0.109304291	2.875950086	0.004028134	0.01850686
RP11-501C14.9	5.227468459	0.314386647	0.993895983	0.316317454	0.751761564	0.861395676
CCAR1	10352.47528	0.314389481	0.171949886	1.828378543	0.067492759	0.170051785
CTD-2537I9.18	102.3971945	0.314407207	0.334441897	0.940095157	0.347168753	0.544077189
ADRBK1	12360.42563	0.31445096	0.109623772	2.86845594	0.004124806	0.018851157
LITAF	10261.59951	0.31452245	0.106754597	2.946219263	0.003216843	0.015400009
CCZ1B	4060.687392	0.314606424	0.118547269	2.653847936	0.007957968	0.032157606
RP11-793H13.11	63.21996101	0.314742099	0.362515892	0.868216004	0.385276095	0.580880433
RNF31	1699.871418	0.314868643	0.159854026	1.96972608	0.048869772	0.133040163
EIF3KP1	3.086731911	0.314887523	1.644577961	0.19147011	0.848157296	0.919692284
GUF1	2455.324513	0.314895786	0.130264712	2.417352951	0.015633849	0.055307162
L3MBTL2	1825.527168	0.314974402	0.121151457	2.599839995	0.009326724	0.036557264
ERO1A	11046.73149	0.315309251	0.121636321	2.592229419	0.009535616	0.037201922
RP4-583P15.16	5.243907482	0.315357292	1.215806457	0.259381162	0.795341163	0.888028168
BCLAF1	25213.76107	0.315456212	0.172758815	1.825991992	0.067851468	0.17073904
RP11-560J1.2	207.6891887	0.315473637	0.233757303	1.34957767	0.177151491	0.343716634
ARHGEF39	892.4410547	0.315490766	0.140500889	2.245471669	0.024737869	0.079806574
CTD-2659N19.9	4.537835063	0.315671602	1.228809184	0.256892288	0.797261924	0.889244931
CNNM2	2385.345195	0.315681469	0.147733131	2.136835971	0.032611335	0.098535617
ZNF658B	81.17800181	0.315804299	0.306191713	1.031394014	0.302356087	0.495781509
HARS	6480.924374	0.315813288	0.130310774	2.423539338	0.015370089	0.054596749
ATG2A	2459.34119	0.315869417	0.14885682	2.121968059	0.03384042	0.101437725
LRRC14	1864.284457	0.31586973	0.136837933	2.308349177	0.020979723	0.070084396
USP40	3415.566003	0.316015822	0.143948512	2.195339275	0.02813927	0.08806576
RP1-253P7.4	32.19832203	0.316124642	0.716868236	0.440980122	0.659227388	0.803099317
SSBP3-AS1	12.11863282	0.316190459	0.869159276	0.363788856	0.716015685	0.838799716
RP11-34P13.13	42.82138901	0.316265246	0.548954233	0.576123159	0.564531939	0.73431059
RP11-517I3.2	12.82352472	0.316326294	0.727337817	0.43490973	0.663627952	0.805239583
RP11-18H7.1	237.7825853	0.316339437	0.322161737	0.9819274	0.326135616	0.521018917
RP11-697N18.4	3.215296004	0.316384941	2.043239807	0.154844742	0.876943718	0.936082584
SNX15	101.2619653	0.316385869	0.309971006	1.020695042	0.307398944	0.501290723
KANK2	8544.398933	0.316478141	0.136928181	2.311271049	0.020817888	0.069658753
RP11-794G24.1	30.0945098	0.316539814	0.505788884	0.625833869	0.531423914	0.707807457
LA16c-431H6.7	34.34484535	0.316617924	0.543170778	0.582906771	0.559956062	0.731072155
ATP5F1P5	9.213035054	0.31661849	0.918920763	0.344554723	0.730429149	0.847508591
KIAA1468	2674.296981	0.316631035	0.16196691	1.954911866	0.050593474	0.13667554
G2E3	4705.031577	0.316735302	0.255622266	1.239075557	0.215317518	0.394626914
HNRNPR	22382.56482	0.316922114	0.186274329	1.701373001	0.088872968	0.208860934
MEF2A	4122.268942	0.317011451	0.221996977	1.427998956	0.153292159	0.309721579
TVP23C	146.3172893	0.317015509	0.235273363	1.347434764	0.17784025	0.344705211
ATP7A	1952.064726	0.317153018	0.241573623	1.312862783	0.18922919	0.360378874
CDK9	4584.297059	0.317182058	0.132994288	2.384929939	0.017082374	0.059452929
IQCG	349.4166153	0.317212666	0.159828445	1.984707203	0.047177057	0.129535557
TAF5L	2732.432235	0.317339038	0.172805416	1.836395208	0.066299228	0.167742513
TNFRSF1A	7318.856688	0.317449251	0.117790266	2.695038063	0.007038059	0.029123582
YWHAQ	40094.17589	0.317468969	0.105945495	2.996531092	0.002730704	0.01353426
LUZP1	2233.298411	0.317480933	0.230786104	1.375650126	0.16892998	0.332197044
SFMBT2	830.5302063	0.317524966	0.183778852	1.727755733	0.084032027	0.200216011
FAM53A	83.31069293	0.317670116	0.289466107	1.097434581	0.272451463	0.462451512
HNRNPU	56464.10794	0.317680991	0.152938404	2.077182599	0.037784709	0.110134356
LEPR	632.0418684	0.317704083	0.349761058	0.908346071	0.363695409	0.560166584
AP1S2	1947.378292	0.317709364	0.201041473	1.580317535	0.114034166	0.249791085
GCDH	1473.243129	0.317868734	0.196024058	1.621580215	0.104893262	0.235605437
RP11-809O17.1	127.9708065	0.317877372	0.229686331	1.383962946	0.166369801	0.328626025
INPP5B	1289.193558	0.317933043	0.157459577	2.019140716	0.043472596	0.121984456
RP11-63L7.5	2.468227489	0.317995233	1.554929102	0.204507866	0.837956645	0.913279859
PHF12	4956.107776	0.318085009	0.124235507	2.560338965	0.010457011	0.040088237
AC104135.2	3.703887475	0.318097056	1.734090197	0.183437434	0.854454806	0.923141128
ADAL	1032.512484	0.318103449	0.126589791	2.512868119	0.011975409	0.044750699
DYRK2	3519.955316	0.318112155	0.164114279	1.938357567	0.052579614	0.140741595
FH	4958.826225	0.318173818	0.147900707	2.151266373	0.031455181	0.095741386
ADPGK-AS1	2.009298185	0.318196995	2.606791866	0.122064596	0.902847861	NA
MRE11A	2625.236307	0.318568803	0.154122285	2.066987282	0.038735352	0.112178246
KRT8P48	1.831468991	0.318569807	1.549101906	0.205648063	0.837065831	NA
ZNF506	942.7085705	0.31878915	0.189969656	1.678105638	0.093326478	0.216230381
SS18L1	5290.961314	0.318828804	0.155771819	2.046768186	0.040680851	0.116506502
CORT	3.299304356	0.318882672	1.242248176	0.25669804	0.797411885	0.889244931
PAM	6020.965476	0.319079274	0.12797419	2.493309579	0.012655845	0.046704125
CEP250	2650.977336	0.319086068	0.123424608	2.585271061	0.009730247	0.037785221
ATN1	9814.188312	0.319301672	0.121892026	2.619545213	0.00880471	0.034915124
PCYOX1	12714.77098	0.319389778	0.166609651	1.916994466	0.055238635	0.145976657
ZNF519	544.1911829	0.319399081	0.199012725	1.604917875	0.108511879	0.241440174
PCSK6	1001.977839	0.319490282	0.203981683	1.566269465	0.117285546	0.254935718
OSMR	1865.192499	0.319512766	0.199934088	1.598090493	0.110022839	0.243397219
REEP3	6588.142047	0.31954668	0.149826742	2.132774671	0.032943215	0.099336841
SNAI1	125.6075641	0.319589646	0.25009963	1.277849334	0.201302555	0.376728088
RCC2	19491.32144	0.31963448	0.113769203	2.809499167	0.004961865	0.021905808
ACSL3	18854.47604	0.31997853	0.149813672	2.135843323	0.032692187	0.098751548
WDR37	3245.957129	0.32008508	0.166210944	1.925776196	0.054132325	0.143936216
AC024060.1	6.558247995	0.320152592	1.099224989	0.291253015	0.770857819	0.872447899
FASTKD2	4230.630348	0.320255641	0.112379594	2.849766842	0.004375129	0.019772172
ITCH	6203.207978	0.320323692	0.183220919	1.748292135	0.080413455	0.193819091
CLU	18765.46373	0.320368344	0.204174977	1.569087203	0.116627621	0.253829196
FBXL22	204.579111	0.320424922	0.232743744	1.376728398	0.168596236	0.331836306
RP11-49O14.2	2.054933027	0.320427193	1.823846074	0.175687629	0.860539354	NA
APEH	8872.286932	0.320437714	0.141260233	2.268421248	0.023303544	0.076119686
HDAC1	15644.09615	0.320641054	0.129376526	2.478355722	0.013198948	0.048341073
PRRC1	10392.64432	0.320645388	0.176757604	1.814040137	0.069671547	0.17423985
USP24	3612.213626	0.320727104	0.22246004	1.441729058	0.149378823	0.304091709
BAZ2A	10503.68981	0.320739233	0.233970684	1.370852227	0.170421026	0.333993306
CNIH2	580.0083882	0.320839521	0.190975211	1.680006112	0.092956127	0.215598557
SNAPC3	2998.686323	0.321017347	0.14960526	2.145762439	0.031891937	0.096767563
ELMO2	3914.21708	0.321051871	0.110408979	2.907842056	0.003639321	0.01700684
RP11-867G23.3	50.01804362	0.321361231	0.501978574	0.640189138	0.522049644	0.700269296
PPP4R1	5296.114051	0.321366313	0.115000277	2.794482953	0.005198278	0.022723664
RP13-895J2.2	22.93858786	0.321634174	0.58876438	0.54628674	0.58486885	0.750151829
EHBP1L1	4030.061086	0.321802123	0.143769722	2.238316372	0.025200431	0.080936128
RPGR	474.8104797	0.321935495	0.155014547	2.076808281	0.037819258	0.110221176
RP11-1055B8.4	399.4594324	0.321943894	0.162493163	1.98127655	0.047560269	0.130396104
RP11-135A24.4	5.958585576	0.32198936	0.999081522	0.322285372	0.747236514	0.858682028
SIPA1L1	9180.720968	0.32205784	0.161358899	1.995909996	0.045943721	0.127097528
TRAF6	985.1553952	0.32221921	0.183328753	1.757603242	0.078815041	0.190970976
TAF1A	410.7989875	0.32223564	0.185421648	1.737853388	0.082236651	0.197066746
C10orf91	35.55582846	0.322383861	0.515414246	0.625484964	0.531652814	0.70803467
COX16	226.2780165	0.322385488	0.198277733	1.625928856	0.103964791	0.233937636
LDOC1L	2208.462817	0.322703138	0.137321463	2.349983257	0.018774256	0.064212573
LONP1	5444.425493	0.322751966	0.158179455	2.040416473	0.041308863	0.117779408
RP11-266K4.9	26.97833972	0.322762627	0.451716604	0.714524603	0.474902848	0.662311391
RP11-381E24.4	31.36079288	0.322937584	0.450258234	0.717227492	0.473233739	0.660704488
EIF3A	29540.5425	0.322949918	0.19490344	1.656973921	0.097524748	0.223294619
RP11-535A19.1	1.733770333	0.32296407	1.984177549	0.162769743	0.870699732	NA
ZNF322	1691.354492	0.322991967	0.250891259	1.287378319	0.197962458	0.37199909
MYB	8709.151853	0.323026888	0.16890089	1.912523306	0.055809106	0.147195912
PELP1	6800.1428	0.323108065	0.185141949	1.745191005	0.080951626	0.194768298
PHF23	4312.635665	0.323199448	0.137582424	2.349133262	0.018817171	0.064310978
PRTN3	4.491611869	0.323234218	1.117276494	0.289305485	0.772347615	0.873282471
PINLYP	37.07982565	0.323270005	0.427986391	0.755327768	0.450052341	0.64052808
MAML1	7728.408309	0.323376412	0.189482661	1.706627987	0.08789122	0.207065202
WIZ	5600.558727	0.323381653	0.120020137	2.694394972	0.007051655	0.029164933
PDE6C	8.799451223	0.323450727	0.822925992	0.393049593	0.694282853	0.825686958
SETD5	14371.94019	0.323709039	0.233659637	1.385387063	0.165934145	0.328139128
RP11-274H24.1	7.44074975	0.323738145	0.893700703	0.362244478	0.717169344	0.839543753
TRMO	1397.605977	0.323824134	0.139241098	2.325636163	0.020037969	0.067636151
RN7SL160P	1.20898915	0.323841869	2.968020937	0.109110372	0.913114948	NA
PTCD3	7465.937715	0.323891426	0.108178726	2.994039941	0.002753099	0.013625792
KDM3B	9969.997064	0.323918539	0.174041454	1.861157393	0.062721953	0.160715906
ELP5	1902.649002	0.324148916	0.204677556	1.583705236	0.113260813	0.248545414
RP11-540A21.2	36.84689293	0.324156149	0.5397831	0.600530378	0.548152822	0.721932724
FLJ16779	5.138896762	0.32421366	1.352677209	0.239682947	0.810576056	0.897208427
EEF2K	4035.844858	0.324214146	0.154169135	2.102977005	0.03546778	0.104878911
TMEM175	1263.68634	0.324385969	0.128936051	2.515867101	0.011873995	0.044467515
RP11-20B24.7	4.521811658	0.324455908	1.314783584	0.246775144	0.805082248	0.894026141
SERPINB8	321.0243547	0.324462532	0.179274679	1.809862581	0.0703171	0.175366718
RP11-452H21.4	17.78914509	0.324582801	0.607898104	0.533942777	0.593381125	0.756276778
GKAP1	565.3675337	0.324596528	0.158107654	2.053009581	0.040071648	0.11519783
NLK	3456.803515	0.324607255	0.141963775	2.286549892	0.022222109	0.073307
PPP1R12A	9690.384209	0.324764234	0.250973483	1.294018117	0.195659163	0.368956409
MAPKBP1	637.7604935	0.324781361	0.20088811	1.616727649	0.105937083	0.237363963
CHCHD4	1856.606387	0.324885546	0.138896265	2.339051704	0.019332758	0.065675669
SENP7	2234.292039	0.324902494	0.334014092	0.972720917	0.330692026	0.526362835
RP11-415C15.2	7.989109285	0.324956795	0.868713498	0.374066704	0.70835469	0.834375445
TIGD3	174.3881571	0.325057593	0.22183081	1.465340154	0.142828136	0.294184049
RP11-475O6.1	30.15048463	0.325085087	0.48449164	0.67098183	0.502232105	0.68400678
RP11-109N23.4	23.63443519	0.325357226	0.50110339	0.64928163	0.516156357	0.694826966
MKS1	3117.938184	0.325404716	0.118312851	2.750375074	0.005952708	0.025416223
TBC1D32	389.4945427	0.325510816	0.260022065	1.251858436	0.210621452	0.388162001
B3GAT2	40.147387	0.325604006	0.429332281	0.758396283	0.448213782	0.638659934
LRRC29	38.70372131	0.325620013	0.393838323	0.826786004	0.408358364	0.603321039
RYR3	53.82076276	0.325650896	0.379638813	0.857791368	0.391007677	0.586384853
COG6	3809.438745	0.325704518	0.168483592	1.933152737	0.053217385	0.142072927
HNRNPA1P15	18.75789081	0.325782748	0.874653319	0.372470717	0.709542411	0.834981857
IL18BP	496.4873853	0.325894925	0.234753204	1.388244841	0.165062502	0.326921214
ZNF326	2406.946559	0.325947665	0.163819165	1.98967969	0.046626231	0.128421237
RP11-541G9.1	2.118872522	0.326111641	1.473783938	0.221275068	0.824878262	NA
USP49	741.8169497	0.326170013	0.201753708	1.616674195	0.105948627	0.23736793
SLC25A17	1961.12747	0.326346368	0.120521877	2.707777002	0.006773552	0.028202037
RP11-356B19.11	51.12867696	0.326362955	0.330461331	0.987598015	0.323349559	0.518170068
OTUB2	291.7280075	0.326532268	0.216055955	1.511331953	0.130703897	0.275879962
ZNF876P	223.6577643	0.326615351	0.199231196	1.639378559	0.101134444	0.229375337
SNORA20	3.908631512	0.326887037	1.090902119	0.299648366	0.764445388	0.868479166
RAD21	41090.95379	0.326932917	0.197221699	1.657692432	0.097379562	0.22306735
SMAD5	5294.639391	0.32709607	0.23612728	1.385253198	0.165975059	0.328156189
STRIP2	260.7334851	0.327169667	0.24964593	1.310534748	0.190014997	0.361427335
NUS1	9063.566285	0.327206094	0.15354649	2.130990391	0.033089934	0.099606115
GDI2	37021.91548	0.327237453	0.103431827	3.163798445	0.001557246	0.008478078
TCTN3	4074.636524	0.327252519	0.141359899	2.315030802	0.020611246	0.069100598
DNAJC21	6210.677564	0.327377254	0.117578821	2.784321613	0.005363982	0.023295719
WDR54	2086.386869	0.327462838	0.227163359	1.441530184	0.149434956	0.304129502
OTULIN	4070.927417	0.327501316	0.158224806	2.069848113	0.03846657	0.111613957
VCP	42239.87104	0.327512429	0.109264206	2.99743568	0.002722613	0.013505184
DLG1	11278.86457	0.327549557	0.192864456	1.698340716	0.089443474	0.209694393
MYO19	4022.778757	0.32776957	0.115961545	2.826536763	0.004705434	0.021000816
ZBTB8B	11.17417863	0.327817291	0.764416885	0.428846218	0.668035141	0.808093749
TOR1A	9456.821259	0.327843046	0.130754489	2.507317709	0.012165131	0.045265903
KLHL25	891.4425257	0.327850233	0.159589537	2.054334127	0.039943364	0.114895716
ZNHIT6	1528.754046	0.327886573	0.187831396	1.745643061	0.080872995	0.194694841
KLF2P4	4.469747843	0.327888955	1.222445422	0.268223799	0.788527057	0.883554863
C18orf32	69.72849182	0.328070948	0.314113507	1.044434386	0.296284462	0.489061676
DUSP8P5	44.66721667	0.328151845	0.39544253	0.829834476	0.406632376	0.601752315
OXCT1-AS1	7.030329829	0.32827973	1.059289916	0.309905461	0.75663285	0.863718098
BTF3L4P2	15.13779186	0.328313538	0.748665989	0.438531391	0.66100112	0.803885934
ZNF510	2044.660071	0.328342148	0.187388871	1.752196631	0.079740003	0.192563524
ENDOG	623.0385565	0.328413962	0.222311058	1.477272274	0.139602667	0.289282455
GTPBP3	1458.23901	0.328441428	0.133448425	2.461186251	0.013847846	0.050187501
ZNF487	379.1127221	0.328484242	0.194773644	1.686492259	0.091701025	0.213542625
ZNF573	153.7844481	0.328603047	0.275068116	1.194624269	0.232233863	0.415241199
AGO1	3904.793053	0.328663866	0.140680862	2.33623723	0.019478881	0.066070405
RP11-74J13.8	61.10402756	0.328722084	0.352424009	0.932745998	0.350951129	0.548019737
RP11-332H14.2	443.0446224	0.32876249	0.164145848	2.002868145	0.045191443	0.125470907
ALDH6A1	4377.722423	0.328841048	0.168948858	1.94639403	0.051607426	0.138720305
NUP58	7131.624261	0.328848795	0.229581538	1.432383447	0.152034113	0.307965032
RAET1K	38.35839856	0.328978867	0.448006177	0.734317704	0.462755131	0.652297538
CKS1B	7196.150787	0.328999296	0.182955284	1.798249767	0.072137436	0.178561722
C16orf52	1108.577993	0.329098175	0.185593037	1.773224797	0.076191465	0.186085512
MTA2	12572.27949	0.329130265	0.175786547	1.872329087	0.061161089	0.157673564
RBPMS	2262.737827	0.329162219	0.170120922	1.934872056	0.053005998	0.141631338
ADAT2	396.837254	0.329188644	0.186258904	1.76737131	0.077166065	0.187837531
POP1	2619.871601	0.329207876	0.163670912	2.011401251	0.044283091	0.123630205
COX15	4698.738481	0.329454415	0.125458543	2.626002244	0.008639425	0.034384967
PANK3	16993.59631	0.329573332	0.247833029	1.329820055	0.183577566	0.352802467
RBM12	9728.274195	0.329624126	0.156107726	2.111517062	0.034727893	0.103231531
CTD-2336O2.1	456.9824469	0.329696181	0.204151308	1.614959921	0.106319374	0.237889343
ZC3H11A	23987.73724	0.329741546	0.180224313	1.829617442	0.067307164	0.169689793
H3F3B	145059.2894	0.329760673	0.144162333	2.287426038	0.022170968	0.073188002
RP1-69M21.2	3.658132023	0.329857365	1.401067718	0.23543285	0.813872792	0.899177265
CMTM7	25.97510777	0.329858092	0.500722868	0.658763785	0.510047466	0.690122723
RP11-475I24.3	8.612303301	0.330094345	0.867183138	0.38065125	0.703462047	0.831635072
LINC00636	13.83375501	0.330191617	0.759846467	0.43455044	0.663888775	0.805386206
ZC3H4	5859.272116	0.330221632	0.145967973	2.262288253	0.0236796	0.07706818
TCF3P1	8.708303968	0.330357961	0.78209472	0.422401472	0.672732004	0.811211674
CTD-2313N18.7	8.349183537	0.330387106	0.909607518	0.36321941	0.71644099	0.839086231
RP11-524O1.4	27.73625829	0.330500653	0.598622309	0.552102132	0.580878381	0.747159839
PHF10	6277.031414	0.330629095	0.173702962	1.90341657	0.056986211	0.149553394
RP11-378J18.8	35.39475446	0.330663966	0.465613106	0.71016894	0.477599379	0.664317212
RP11-398K22.12	165.1524449	0.330772516	0.218160021	1.516192171	0.129470767	0.274015429
C10orf54	1.478138605	0.330796556	2.027886717	0.163123784	0.870420973	NA
SETP21	5.430052556	0.330816586	0.926291914	0.357140746	0.720986442	0.841866882
MTRR	2368.661443	0.330865471	0.174688942	1.894026414	0.058221504	0.152072214
CEPT1	2248.998516	0.330916812	0.204992899	1.614284269	0.106465781	0.238065367
EGLN1	3308.946817	0.331045711	0.153743625	2.153232112	0.031300441	0.095413897
RP11-6J24.3	1.156975911	0.331457214	2.586169449	0.128165312	0.898018151	NA
FAM86C1	747.7993801	0.331475557	0.153030907	2.166069352	0.030305888	0.093118521
DNAH10	69.24461076	0.331506973	0.42650542	0.777263212	0.437003495	0.629418837
RP11-1334A24.5	91.687846	0.331513478	0.28489256	1.163643862	0.244568368	0.430560884
ZNF26	1437.330583	0.331536007	0.145202787	2.283262008	0.022414939	0.073812776
BCCIP	4670.827849	0.331657444	0.134030797	2.474486848	0.013342773	0.048724406
ARL6IP5	8028.272619	0.331692814	0.114386685	2.899750203	0.003734602	0.01739525
CDK19	5865.08366	0.331760465	0.207790769	1.596608289	0.11035305	0.243772437
MYBPC1	5.571033653	0.331902791	1.047112766	0.316969482	0.751266759	0.861138668
ATAD2B	3910.893792	0.331998927	0.275323889	1.205848603	0.227875871	0.410000993
YWHAZP5	17.21639258	0.332086585	0.747481228	0.444274146	0.656844391	0.801453119
CTBP2	7592.115881	0.332118406	0.130189253	2.551043192	0.010740101	0.040940842
MPDU1	5039.956813	0.33211929	0.218920232	1.517079018	0.129246735	0.273741011
SEL1L	12820.36697	0.332458891	0.198406834	1.675642336	0.093808271	0.216983705
FAF2P1	3.521126345	0.332475638	1.447814255	0.229639705	0.818371751	0.901686614
RP11-557N21.1	4.30202985	0.33248394	1.232961611	0.269662849	0.787419644	0.882802765
MED29	6973.880248	0.332513116	0.116987714	2.842290903	0.00447906	0.020170305
SYNRG	2428.55224	0.332532446	0.187099447	1.777303198	0.075518368	0.184864336
SNX8	3046.970544	0.33255108	0.157157401	2.116038307	0.03434155	0.102446299
AC012456.4	1.792922901	0.332903231	2.006276234	0.165930905	0.868211326	NA
FARSA	7069.192609	0.333024122	0.166189092	2.003886773	0.045082191	0.12524206
DPH3	3290.845252	0.333216203	0.125328905	2.658733861	0.007843489	0.031816767
PSMD6	129080.5882	0.333247808	0.156059134	2.13539444	0.032728804	0.098837571
CTD-2231E14.8	33.91392868	0.333352383	0.520424994	0.640538764	0.521822396	0.700125888
GCFC2	1069.057559	0.333427769	0.181385677	1.838225462	0.066029189	0.167307998
RNF216P1	825.9692772	0.333435727	0.160750955	2.074237925	0.03805722	0.11072932
RP11-206P5.2	2.104543287	0.333559409	1.911459956	0.174505047	0.861468565	NA
SLC25A32	4694.098812	0.333592991	0.144080576	2.315322447	0.020595292	0.069075717
CD3EAP	882.7320769	0.333723062	0.194300121	1.717564871	0.085876012	0.203412156
CALCOCO2	9339.763345	0.333755983	0.105777891	3.155252761	0.001603591	0.008681413
INO80	3592.330402	0.333898347	0.164567612	2.028943263	0.04246407	0.120056158
C16orf87	1265.981055	0.33394927	0.156475252	2.134198645	0.032826524	0.099038643
FRMD3	180.7647061	0.334081766	0.232288287	1.438220452	0.150371514	0.305395768
CPN2	6.994061167	0.334091083	1.163857536	0.287054964	0.774070235	0.874497359
RP11-455P21.3	1.468596297	0.334100857	2.118258156	0.157724334	0.874674025	NA
ZSWIM4	624.5414342	0.334262703	0.150499586	2.221020754	0.026349556	0.083672243
SNORA9	16.88223387	0.334364207	0.559998614	0.597080419	0.55045369	0.72386389
PTPN14	754.2346239	0.334471318	0.219518993	1.523655486	0.127594795	0.271416938
SLC25A44	4917.65375	0.334530055	0.113053586	2.959039757	0.003085993	0.014896924
RP11-291L22.9	335.2156461	0.334547406	0.290706816	1.150806888	0.24981169	0.436972538
PLEKHN1	475.0449362	0.334693067	0.162946269	2.054008785	0.039974841	0.114959029
RP11-1348G14.8	76.65880662	0.334724055	0.318491607	1.050966641	0.293273911	0.486008203
RP11-230B22.1	4.675428939	0.334778443	1.54582479	0.216569462	0.828543886	0.907746507
EIF4G3	11224.45975	0.334801133	0.179499279	1.865194866	0.062154095	0.159631382
RP3-355L5.4	23.70133602	0.33482855	0.665961976	0.502774276	0.615122981	0.772713843
ILDR1	1011.323168	0.33527861	0.139137615	2.40969065	0.015966052	0.056237435
PXMP4	1889.955923	0.335382014	0.123406714	2.717696655	0.006573808	0.027535615
CNOT6	11251.26189	0.335647373	0.172683506	1.943714138	0.051929933	0.139372732
EDC4	4490.669723	0.335700635	0.200571052	1.673724255	0.094184805	0.217575589
CTD-2571L23.8	2.687939263	0.335838384	1.512049526	0.222108058	0.824229765	0.905225165
C8orf33	6562.11363	0.335945646	0.11307467	2.971007101	0.002968249	0.014440047
KIAA1143	3982.713165	0.335966252	0.124569329	2.697022243	0.00699626	0.028985186
DVL3	11375.9313	0.335994009	0.109856083	3.05849252	0.002224536	0.011382752
LA16c-313F4.1	65.66720288	0.33599411	0.335510458	1.001441541	0.316613389	0.511186862
SOS1	7395.778884	0.336045426	0.255149259	1.317054288	0.187820428	0.358460269
TEX261	9786.1952	0.336153646	0.124131369	2.708047528	0.006768033	0.02818389
AC097724.3	34.00182605	0.336189907	0.580128278	0.5795096	0.562245371	0.732390639
CTD-2008P7.1	6.352053794	0.336237604	1.111940997	0.302387991	0.762356308	0.86695873
RP5-1099C19.2	2.99558423	0.336243924	1.243168175	0.270473401	0.786796078	0.882388803
PAIP1P1	29.12650722	0.336261762	0.638083092	0.52698742	0.598202324	0.759909073
CTC-297N7.10	1.783380593	0.336700084	1.979377718	0.170104008	0.864928341	NA
MCF2	21.69414762	0.336712286	0.668070498	0.504007117	0.614256375	0.771824831
CTB-92J24.3	5.88517408	0.336905851	1.292584498	0.260645127	0.794366186	0.887354638
PEX3	1328.565198	0.33695525	0.126761315	2.65818676	0.007856234	0.031857824
AZI2	1928.270436	0.337297233	0.139438013	2.418976184	0.015564259	0.055117177
RP11-146I2.1	448.9131791	0.337433014	0.166600411	2.025403256	0.042825973	0.120742
MAFG	1935.565759	0.337490101	0.134928295	2.501255206	0.012375396	0.045916868
RP11-1198D22.1	8.868762447	0.337493803	0.814097473	0.41456191	0.678462637	0.815509704
TRAM2	5627.824604	0.337527661	0.146191857	2.308799328	0.020954719	0.070020131
RBSN	6041.364335	0.337533617	0.146166251	2.309244535	0.020930016	0.069958705
AC004156.3	59.96155174	0.337569092	0.340162046	0.992377298	0.321013509	0.516074662
TVP23B	3546.944853	0.33759819	0.110187861	3.06384195	0.002185143	0.011242766
KPNA2	70749.735	0.337633139	0.15572665	2.168114056	0.03015001	0.092780428
RP11-459F6.3	5.656092577	0.337744587	0.97171616	0.347575352	0.728159119	0.846046903
OSBPL5	732.7689832	0.337757245	0.133720913	2.525837117	0.011542298	0.043482014
SLCO4A1	1600.054287	0.337782041	0.154957612	2.179835092	0.029269688	0.090648024
IFRD1	5322.951666	0.33790087	0.124067892	2.723515855	0.006459112	0.027158238
TP53I11	5512.416458	0.337904443	0.137974934	2.449027746	0.014324241	0.051583411
TGS1	2599.024903	0.3379205	0.173302748	1.949885407	0.051189779	0.137918235
RP11-67L2.2	217.2239931	0.338132773	0.24634749	1.372584606	0.16988152	0.333312538
KIAA0586	2667.328166	0.338139979	0.177275481	1.907426662	0.05646536	0.148475284
MOB1A	21666.59426	0.338153829	0.152290955	2.220445907	0.026388514	0.083752149
CTD-2532K18.1	1.433264694	0.338302547	2.14677569	0.157586351	0.87478276	NA
RPL23AP15	2.433879974	0.338314895	2.104413516	0.160764456	0.872278921	0.933291732
CDC25C	1798.950568	0.338569907	0.150323389	2.25227697	0.024304775	0.078723094
FAM120AOS	11179.13938	0.338684912	0.147670497	2.293517782	0.021818213	0.072308558
LRRFIP1P1	280.7208824	0.338740071	0.329487291	1.028082357	0.303911089	0.497390977
YBX1P10	52.20630621	0.338873535	0.349222771	0.970364947	0.331864615	0.527706674
UMPS	5441.163159	0.33914478	0.113852676	2.978803753	0.002893761	0.014163325
QSOX1	11402.78467	0.339202317	0.113123742	2.99850686	0.00271306	0.013466051
RP11-498C9.12	4.104714783	0.339235725	1.391908092	0.243719918	0.807447746	0.895503864
AP000692.10	15.33785039	0.339240872	0.656791264	0.516512461	0.605496538	0.765055547
AGGF1	6376.223891	0.33930625	0.1574306	2.155275086	0.031140314	0.095057022
AP4B1	4529.73896	0.33931867	0.118399328	2.86588341	0.004158474	0.018955085
BTN2A3P	164.5337447	0.339344062	0.243510716	1.393548784	0.163453904	0.324429068
EXOSC10	4562.256773	0.339405031	0.137211703	2.473586605	0.013376438	0.048821787
RCL1	3072.763182	0.339418378	0.121093424	2.8029464	0.005063808	0.022246681
ECEL1	96.90352323	0.339621215	0.268039243	1.267057803	0.205134622	0.381520863
RP11-440L14.4	10.95184142	0.339676506	0.841800204	0.403512026	0.686571589	0.820695852
UPF3AP1	8.95097505	0.3397119	0.877815927	0.386996737	0.698758623	0.828575359
RP11-212P7.2	1741.401206	0.339899637	0.126813423	2.680312766	0.00735534	0.030169383
TRIM52	1120.639806	0.339934928	0.1975678	1.720598842	0.085323644	0.20251857
ZPR1	2726.246789	0.339964662	0.143668145	2.366319011	0.017965956	0.061915881
MCM8	2776.074621	0.340030183	0.212408895	1.600828364	0.10941494	0.242530408
CTC-451P13.1	13.90090926	0.340062329	0.632910623	0.537299134	0.591061004	0.754785337
RP11-255E6.6	10.74417211	0.340100959	0.851716664	0.399312322	0.689663089	0.822234719
